12293	bernard diomede	19740123	1.70	183	goalkeeper	saint-doulchard  france	
2232	ricardo osorio	19800330	1.73	84	defender	huajuapan de león  mexico	
3987	dimitrios papadopoulos	19811020	1.78	92	forwarder	gagarin  uzbek soviet socialist republic|uzbek ssr  soviet union	
12205	quim	19751113	1.97	97	goalkeeper	vila nova de famalicão municipality|famalicão  portugal	
8874	jack rodwell	19910311	1.85	59	midfielder	southport  merseyside  england	
11377	cristiano zanetti	19770414	1.80	92	midfielder	carrara  italy	
1682	kasper schmeichel	19861105	1.83	84	goalkeeper	copenhagen  denmark	
4544	igor akinfeev	19860408	1.86	66	goalkeeper	vidnoye  soviet union	
6199	bixente lizarazu	19691209	1.69	99	defender	saint-jean-de-luz  france	
2388	karim haggui	19840120	1.90	100	defender	kasserine  tunisia	
12338	claude makelele	19730218	1.70	67	midfielder	kinshasa  zaire	
7762	aaron hunt	19860904	1.83	82	midfielder	goslar  west germany	
7492	david cotterill	19871204	1.75	95	midfielder	cardiff  wales	
7842	moustapha salifou	19830601	1.80	88	midfielder	lomé  togo	
12191	nick montgomery	19811028	1.75	91	midfielder	leeds  england	
5601	james mcfadden	19830414	1.78	88	forwarder	springburn  glasgow  scotland	
7875	roy carroll	19770930	1.88	76	goalkeeper	enniskillen  northern ireland	
4215	marouane fellaini	19871122	1.94	57	midfielder	etterbeek  belgium	
10589	niclas jensen	19740817	1.79	78	defender	copenhagen  denmark	
770	steve sidwell	19821214	1.83	81	midfielder	wandsworth  london  england	
12225	fred bennett	19831231	1.65	68	defender	manning south carolina	
12221	jonathan zebina	19780719	1.84	80	defender	paris france	
4661	tranquillo barnetta	19850522	1.78	87	midfielder	st. gallen  switzerland	
8641	dean ashton	19831124	1.86	62	forwarder	swindon  england	
9005	thiago motta	19820828	1.87	98	midfielder	são bernardo do campo  brazil	
12003	alexander stolz	19831013	1.89	83	goalkeeper	pforzheim  west germany	
841	bernardo corradi	19760330	1.88	61	forwarder	siena  italy	
12323	josip simunic	19780218	1.8	89	defender	canberra  australia	
7775	ivan kaviedes	19771024	1.82	57	forwarder	crespo argentina	
12264	marek hamsik	19870727	1.83	97	midfielder	bansk?bystrica  czechoslovakia	
6680	antonio cassano	19820712	1.75	78	forwarder	bari  italy	
6284	alexander zickler	19740228	1.88	71	forwarder	bad salzungen  east germany	
1611	mohamed sissoko	19850122	1.89	84	midfielder	mont-saint-aignan  france	
5402	christian panucci	19730412	1.84	91	defender	savona  italy	
3958	steve simonsen	19790403	1.88	61	goalkeeper	south shields  england	
9180	florent malouda	19800613	1.77	80	midfielder	cayenne  french guiana  france	
7567	rory delap	19760706	1.83	88	midfielder	sutton coldfield  england	
12118	ben alnwick	19870101	1.83	100	goalkeeper	prudhoe  england	
12269	jose reina	19820831	1.88	94	goalkeeper	madrid  spain	
12207	alexsandro de souza	19770914	1.91	91	midfielder	curitiba  paran?(state)|paran? brazil	
4777	paul codrea	19810404	1.74	88	midfielder	timişoara  romania	
6437	jorge campos	19661015	1.68	77	forwarder	acapulco  mexico	
475	boaz myhill	19821109	1.91	81	goalkeeper	modesto  california  united states	
12238	jamie carragher	19780128	1.85	83	defender	bootle merseyside england	
10851	nigel quashie	19780720	1.75	93	midfielder	london borough of southwark|southwark  london	
12358	alvaro recoba	19760317	1.79	98	forwarder	montevideo  uruguay	
12309	hernan crespo	19750705	1.84	78	forwarder	florida  buenos aires|florida  argentina	
8670	lars jacobsen	19790920	1.81	76	defender	odense  denmark	
6113	ibrahim ba	19731112	1.81	61	midfielder	dakar  senegal	
12394	eddie lewis	19740517	1.86	83	midfielder	cerritos  california  united states	
2536	tomasz kuszczak	19820320	1.91	65	goalkeeper	krosno odrzańskie  poland	
12330	frederic kanoute	19770902	1.93	103	goalkeeper	sainte-foy-l�s-lyon  france	
5806	rob hulse	19791025	1.85	100	forwarder	crewe  england	
12415	gary caldwell	19890716	1.85	64	forwarder	blagoevgrad bulgaria	
5467	igor budan	19800422	1.8	80	forwarder	rijeka  socialist federal republic of yugoslavia|sfr yugoslavia	
8041	salif diao	19770210	1.83	78	midfielder	kédougou  senegal	
1684	jerzy dudek	19730323	1.88	80	goalkeeper	rybnik  poland	
3254	gianluigi buffon	19780128	1.91	83	goalkeeper	carrara  italy	
11576	mario basler	19681218	1.86	98	midfielder	neustadt an der weinstraße|neustadt (weinstraße)  west germany	
12384	mark randall	19890928	1.77	60	midfielder	milton keynes  england	
9212	eren derdiyok	19880612	1.91	67	forwarder	basel  switzerland	
10350	walter pandiani	19760427	1.83	99	forwarder	montevideo  uruguay	
5598	rodrigo mendes	19750809	1.80	78	midfielder	uberaba  brazil	
10948	carlos alberto	19830320	1.93	79	goalkeeper	mexico df  mexico	
11938	omar bravo	19800304	1.70	86	forwarder	los mochis  sinaloa|los mochis  mexico	
